Date and time,Temperature,Description
2017-11-26 17:00:00,276.590,scattered clouds
2017-11-26 18:00:00,278.500,scattered clouds
2017-11-26 19:00:00,280.230,few clouds
2017-11-26 20:00:00,281.240,few clouds
2017-11-26 21:00:00,282.240,few clouds
2017-11-26 22:00:00,282.780,few clouds
2017-11-26 23:00:00,281.760,scattered clouds
2017-11-27 00:00:00,280.560,scattered clouds
2017-11-27 01:00:00,279.520,sky is clear
2017-11-27 02:00:00,280.350,sky is clear
2017-11-27 03:00:00,280.320,sky is clear
2017-11-27 04:00:00,280.350,sky is clear
2017-11-27 05:00:00,278.890,sky is clear
2017-11-27 06:00:00,277.800,sky is clear
2017-11-27 07:00:00,276.520,sky is clear
2017-11-27 08:00:00,275.610,sky is clear
2017-11-27 09:00:00,275.060,sky is clear
2017-11-27 10:00:00,274.230,mist
2017-11-27 11:00:00,273.140,mist
2017-11-27 12:00:00,272.340,mist
2017-11-27 13:00:00,272.430,mist
2017-11-27 14:00:00,273.210,mist
2017-11-27 15:00:00,275.100,mist
2017-11-27 16:00:00,278.770,haze
2017-11-27 17:00:00,281.940,haze
2017-11-27 18:00:00,283.130,haze
2017-11-27 19:00:00,285.250,sky is clear
2017-11-27 20:00:00,286.540,sky is clear
2017-11-27 21:00:00,286.440,sky is clear
2017-11-27 22:00:00,286.140,broken clouds
2017-11-27 23:00:00,285.440,broken clouds
2017-11-28 00:00:00,283.390,broken clouds
2017-11-28 01:00:00,284.530,broken clouds
2017-11-28 02:00:00,284.730,overcast clouds
2017-11-28 03:00:00,285.330,sky is clear
2017-11-28 04:00:00,285.320,sky is clear
2017-11-28 05:00:00,285.320,sky is clear
2017-11-28 06:00:00,284.960,sky is clear
2017-11-28 07:00:00,285.060,sky is clear
2017-11-28 08:00:00,284.420,sky is clear
2017-11-28 09:00:00,284.250,sky is clear
2017-11-28 10:00:00,283.980,sky is clear
2017-11-28 11:00:00,284.150,sky is clear
2017-11-28 12:00:00,283.790,sky is clear
2017-11-28 13:00:00,283.960,sky is clear
2017-11-28 14:00:00,284.050,few clouds
2017-11-28 15:00:00,284.650,broken clouds
2017-11-28 16:00:00,285.650,broken clouds
2017-11-28 17:00:00,286.250,overcast clouds
2017-11-28 18:00:00,287.500,broken clouds
2017-11-28 19:00:00,289.050,overcast clouds
2017-11-28 20:00:00,289.320,overcast clouds
2017-11-28 21:00:00,289.540,broken clouds
2017-11-28 22:00:00,288.950,overcast clouds
2017-11-28 23:00:00,289.390,overcast clouds
2017-11-29 00:00:00,287.040,overcast clouds
2017-11-29 01:00:00,285.950,light rain
2017-11-29 02:00:00,284.510,broken clouds
2017-11-29 03:00:00,282.960,sky is clear
2017-11-29 04:00:00,282.040,scattered clouds
2017-11-29 05:00:00,281.260,sky is clear
2017-11-29 06:00:00,280.060,sky is clear
2017-11-29 07:00:00,279.440,sky is clear
2017-11-29 08:00:00,277.690,sky is clear
2017-11-29 09:00:00,277.160,sky is clear
2017-11-29 10:00:00,275.970,sky is clear
2017-11-29 11:00:00,273.970,sky is clear
2017-11-29 12:00:00,274.080,sky is clear
2017-11-29 13:00:00,273.780,sky is clear
2017-11-29 14:00:00,273.260,sky is clear
2017-11-29 15:00:00,275.210,sky is clear
2017-11-29 16:00:00,278.030,sky is clear
2017-11-29 17:00:00,279.580,sky is clear
2017-11-29 18:00:00,280.310,few clouds
2017-11-29 19:00:00,281.050,few clouds
2017-11-29 20:00:00,281.340,few clouds
2017-11-29 21:00:00,281.690,sky is clear
2017-11-29 22:00:00,281.070,few clouds
2017-11-29 23:00:00,280.060,sky is clear
2017-11-30 00:00:00,278.460,sky is clear
